Title,URL,Published Date,View Count,Like Count,Comment Count
【虫と土の話】タマネギの収穫とジャガイモの手入れから循環を考える:2018年5月14日農業記録,https://www.youtube.com/watch?v=_REDhRS_oD4,2018-12-30T16:31:15Z,2730,48,4
【苗作り】トマトなどの育苗用培養土を節約する方法,https://www.youtube.com/watch?v=bmfCL8VRnUo,2018-12-29T13:13:02Z,19866,95,4
【虫と野菜の話】4月12日:アブラムシの付かない自然農のソラマメ,https://www.youtube.com/watch?v=xk39G41TmeQ,2018-12-28T07:32:09Z,17030,117,7
【苗作り】夏野菜の苗の様子と植替え時期の注意点について:2018年4月11日農業記録,https://www.youtube.com/watch?v=QOv7LfCMTOk,2018-12-28T04:31:22Z,6060,38,1
【自然農法の畑】4月11日:キヌサヤ、イチゴの開花、3年目のアスパラ、各種菜花,https://www.youtube.com/watch?v=INaMNG1Eo2M,2018-12-27T14:30:51Z,4241,41,1
焼き土に肥料分を混ぜて育苗ポットを作る【育苗の準備】2018年3月27日,https://www.youtube.com/watch?v=P6oJvk_hnNQ,2018-12-26T22:30:01Z,6276,28,1
【自然農法の畑】3月27日:春に咲く野菜の花と草花たち、残す草と刈り取る草について,https://www.youtube.com/watch?v=WcYKgxwB-7w,2018-12-26T13:25:28Z,6327,51,2
《新畑開拓》④3月～5月まとめ:新しく借りた畑の1年目と共栄作物について,https://www.youtube.com/watch?v=7yOBhlFNTNs,2018-12-26T12:25:27Z,5135,48,9
【種苗法･育成者権の話】ジャガイモの自家増殖をする場合の注意点:2018年12月6日,https://www.youtube.com/watch?v=0vvtV-5zib4,2018-12-24T12:52:07Z,5208,39,8
【自然農法の畑】種まき後の豆類、葉物、根菜の様子:2018年12月5日農業記録,https://www.youtube.com/watch?v=0MSvrInHB4I,2018-12-22T06:35:37Z,6488,42,4
【鎌の話②】場所と用途に応じた鎌の使い分け方,https://www.youtube.com/watch?v=eYeIqoFQ4R8,2018-12-21T13:49:56Z,21447,152,3
【鎌の話①】鎌の種類と初心者にお勧めの鎌について:2018年12月19日,https://www.youtube.com/watch?v=dGuw6UcFd20,2018-12-21T04:16:03Z,21058,175,8
